Host ID,Mistletoe ID,Height,Hypotenuse,Horizontal,Angle,ImputedHeight,Area14,Perim14,Fruit14,Status15,Area15,Perim15,Fruit15,Status16,Area16,Perim16,Fruit16,Status17,Area17,Perim17,Fruit17,Status18,Area18,Perim18,Fruit18,Status19,Area19,Perim19,Fruit19,Status20,Area20,Perim20,Fruit20,Status21,Area21,Perim21,Fruit21,Status22,Area22,Perim22,Fruit22,Status23,Area23,Perim23,Fruit23,Notes
NewSite3,M015,#VALUE!,NA,NA,NA,12.528,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,145.591,62.727,0,Surv,559.107,104.894,0,
NewSite3,M016,#VALUE!,NA,NA,NA,16.628,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,633.121,104.595,NA,Surv,1129.049,144.586,NA,Surv,1113.546,136.737,0,
NewSite3,M017,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,NA,NA,NA,Surv,NA,NA,NA,Surv,NA,NA,NA,Surv,NA,NA,NA,Surv,NA,NA,1,Behind tree - cannot measure size
NewSite3,M018,#VALUE!,NA,NA,NA,6.8,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,40.23,25.215,0,
NewSite4,M001,23.66748389,32.8,24,42,NA,NA,NA,NA,FC,2230.379,229.3,0,Surv,2207.379,269.259,0,Surv,2932.965,243.689,0,Surv,2797.953,254.37,0,Surv,4358.294,293.782,0,Surv,3350.761,277.334,NA,Surv,2726.782,235.248,0,Surv,4725.768,312.838,0,Surv,2075.476,258.753,0,Marked as two indivs in Goodnotes from 2021-2023
NewSite4,M002,23.44622121,33.8,26,40,NA,NA,NA,NA,FC,397.342,77.162,0,Surv,502.229,96.26,0,Surv,1044.142,131.373,0,Surv,1673.576,188.307,0,Surv,2901.666,258.75,0,Surv,2189.386,192.963,NA,Surv,2701.836,228.099,0,Surv,3510.952,226.3,0,Surv,2623.545,214.617,1,
NewSite4,M003,20.73735473,31.6,25,37,NA,NA,NA,NA,NYS,NA,NA,NA,FC,89.516,45.126,0,Surv,1154.216,151.336,0,Surv,844.838,139.964,0,Surv,1749.981,204.598,0,Surv,2046.144,191.904,NA,Surv,1221.071,185.665,0,Surv,2653.238,235.643,0,Surv,NA,NA,0,"In 2020-2022, considered as several recruits in Goodnotes ; too blurry to measure in 2023"
NewSite4,M004,21.92118455,32.1,24,39,NA,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,1196.593,159.336,0,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NewSite4,M005,#VALUE!,NA,NA,NA,21.747,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,913.788,127.336,NA,Surv,1585.026,157.87,0,Surv,2769.38,242.436,0,Surv,NA,NA,0,Too blurry to measure in 2023
NewSite4,M006,#VALUE!,NA,NA,NA,21.002,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,1189.159,142.873,NA,Surv,1166.702,141.705,0,Surv,1140.726,152.536,0,Surv,NA,NA,0,Too blurry to measure in 2023
NewSite4,M007,#VALUE!,NA,NA,NA,20.921,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,93.387,46.584,0,Dead,NA,NA,NA,NA,NA,NA,NA,
NewSite4,M008,#VALUE!,NA,NA,NA,20.043,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,510.623,87.428,0,Dead,NA,NA,NA,
NewSite4,M009,#VALUE!,NA,NA,NA,20.988,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,129.491,47.106,0,Dead,NA,NA,NA,
NewSite5,M001,22.91341104,37.9,31,34,NA,NA,NA,NA,FC,435.461,95.862,0,Surv,832.276,111.103,0,Surv,1453.987,170.57,0,Surv,2529.281,218.368,0,Surv,3284.992,284.677,0,Surv,4657.857,294.861,0,Surv,5793.683,345.719,0,Surv,6296.921,342.225,0,Surv,6982.309,345.671,1,
NewSite5,M002,22.47074723,38.1,32,33,NA,NA,NA,NA,FC,566.618,106.515,0,Surv,702.419,114.528,0,Surv,1205.483,148.407,0,Surv,2235.017,182.433,0,Surv,1214.803,166.152,0,Surv,2258.681,205.638,0,Surv,3393.745,245.61,0,Surv,3815.185,270.027,0,Surv,4992.256,303.191,1,
NewSite5,M003,23.28771405,40.7,34,32,NA,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,100.661,43.284,0,Surv,115.623,47.267,0,Surv,812.524,120.454,0,Surv,713.524,107.303,0,Surv,1330.215,140.058,0,
NewSite6,M001,20.58512581,35.6,27,32,NA,NA,NA,NA,FC,3807.59,306.009,0,Surv,6340.566,359.014,0,Surv,7192.894,381.986,0,Surv,7772.505,434.987,0,Surv,6667.362,471.047,0,Surv,9759.715,451.131,0,Surv,10526.983,477.06,0,Surv,10842.758,456.611,0,Surv,7676.935,370.359,1,
NewSite6,M002,23.19300749,38.4,29,34,NA,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,431.941,85.633,0,Surv,671.407,128.27,0,Surv,1607.997,185.883,0,Surv,2188.023,225.888,0,Surv,2050.831,239.621,0,Surv,2287.764,202.129,0,
NewSite6,M003,17.58272908,39,34,24,NA,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,290.934,65.341,0,
NewSite7,M001,5.333806514,11.1,10,19,NA,NA,NA,NA,FC,1040.651,163.797,0,Surv,1317.773,171.798,1,Surv,1312.63,169.786,0,Surv,2336.723,227.374,1,Surv,1812.447,212.55,0,Surv,3526.967,281.746,1,Surv,4959.474,336.014,0,Surv,4985.753,314.226,0,Surv,2890.27,212.175,1,
NewSite7,M002,3.674369894,9.4,9,12,NA,NA,NA,NA,FC,1852.828,186.432,0,Surv,2383.508,224.421,0,Surv,3486.444,250.44,0,Surv,4958.466,390.811,1,Surv,5893.588,464.326,1,Surv,7319,403.303,1,Surv,8777.293,378.485,1,Surv,9602.564,479.257,1,Surv,6690.441,351.644,1,
NewSite7,M003,3.764670456,7.9,8,15,NA,NA,NA,NA,FC,1396.903,203.549,0,Surv,2613.539,210.27,1,Surv,4350.247,329.447,1,Surv,5912.574,416.053,1,Surv,4032.382,381.766,1,Surv,8032.497,405.927,1,Surv,8146.14,385.019,0,Surv,9156.922,443.181,1,Surv,5948.924,337.651,1,(accidentally drew an extra box)
NewSite7,M004,#VALUE!,NA,NA,NA,5.665,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,282.964,70.59,0,Surv,591.291,107.192,0,Surv,490.855,93.973,1,Surv,642.713,98.653,1,
NewSite7,M005,#VALUE!,NA,NA,NA,6.858,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,382.43,93.724,0,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NewSite7,M006,#VALUE!,NA,NA,NA,2.904,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,80.638,48.574,0,Surv,395.928,111.738,0,Surv,692.922,119.035,0,Surv,1373.215,211.983,1,
NewSite7,M007,#VALUE!,NA,NA,NA,3.567,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,535.655,95.879,0,Surv,796.181,116.027,0,Surv,875.877,151.474,1,Surv,346.072,72.178,1,
NewSite7,M008,#VALUE!,NA,NA,NA,4.527,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,52.295,28.567,0,Surv,368.476,82.613,0,Surv,NA,NA,NA,Surv,510.061,93.103,0,Missed in 2022
NewSite7,M009,#VALUE!,NA,NA,NA,2.979,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,1197.499,142.47,0,Surv,226.315,67.501,0,Surv,507.892,133.116,1,
NewSite7,M010,#VALUE!,NA,NA,NA,2.153,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,37.214,25.547,0,Surv,70.893,35.552,0,
NewSite7,M011,#VALUE!,NA,NA,NA,7.35,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,505.168,113.112,0,Dead,NA,NA,NA,
NewSite7,M012,#VALUE!,NA,NA,NA,3.285,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,98.255,52.919,0,Surv,491.51,97.73,1,
NewSite7,M013,#VALUE!,NA,NA,NA,3.187,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,245.343,70.46,0,Surv,304.918,98.116,0,
NewSite7,M014,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never seen
NewSite7,M015,#VALUE!,NA,NA,NA,5.604,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,43.038,27.143,0,
NewSite7,M016,#VALUE!,NA,NA,NA,7.442,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,661.778,118.245,1,
NewSite8,M001,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never seen
NewSite8,M002,19.91929695,25.3,17,46,NA,456.422,106.118,0,Surv,386.174,78.188,0,Surv,7118.33,108.687,0,Surv,1092.676,137.766,0,Surv,1341.034,170.679,0,Surv,1110.273,134.352,0,Surv,4934.271,333.696,0,Surv,5699.856,365.684,0,Surv,4730.522,306.429,0,Surv,4023.182,261.628,1,
NewSite8,M003,22.57904203,40.5,39,31,NA,1017.789,173.44,0,Surv,1298.099,150.232,0,Surv,1390.548,155.998,0,Surv,1992.526,198.332,0,Surv,2974.933,250.781,0,Surv,3132.994,237.564,0,Surv,5328.236,319.637,0,Surv,5823.833,319.889,0,Surv,6236.005,352.95,0,Surv,4005.716,282.297,1,
NewSite8,M004,22.70092633,27.8,19,49,NA,1585.72,175.98,0,Surv,2432.767,188.665,0,Surv,2386.267,189.489,0,Died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NewSite8,M005,22.01250015,39.4,39,31,NA,43.493,35.687,1,Surv,159.596,51.059,0,Surv,533.164,108.194,0,Surv,1185.518,147.747,0,Surv,1352.091,163.721,0,Surv,1502.855,149.936,0,Surv,2865.517,214.498,0,Surv,4748.001,361.031,0,Surv,5033.014,336.887,0,Surv,3022.162,259.483,1,
NewSite8,M006,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Never seen
NewSite8,M007,23.82,44.2,38,30,NA,NA,NA,NA,FC,407.971,75.253,0,Surv,438.539,81.258,0,Died,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NewSite8,M008,21.32,39.2,40,30,NA,NA,NA,NA,FC,236.027,56.986,0,Surv,821.967,110.667,0,Surv,725.204,108.536,0,Surv,627.621,101.039,0,Surv,956.92,117.857,0,Surv,1789.623,195.097,0,Surv,1839.159,235.516,0,Surv,4112.35,278.911,0,Surv,2152.683,213.495,1,
NewSite8,M009,21.75498111,38.9,38,31,NA,NA,NA,NA,FC,742.974,101.677,0,Surv,1648.965,163.557,0,Surv,2402.199,182.311,0,Surv,3057.649,215.605,NA,Surv,5939.346,314.293,0,Surv,8285.619,349.823,0,Surv,5284.892,295.183,0,Surv,4258.167,273.47,0,Surv,3221.929,229.904,1,
NewSite8,M010,#VALUE!,NA,NA,NA,18.743,NA,NA,NA,FC,874.505,220.989,1,Surv,777.41,141.94,0,Surv,1917.214,164.633,0,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NewSite8,M011,15.09031998,30.5,31,26,NA,NA,NA,NA,FC,544.554,92.642,0,Surv,780.532,105.916,0,Surv,416.497,81.735,NA,Surv,246.32,63.785,0,Surv,473.86,80.9,0,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NewSite8,M012,15.09031998,30.5,31,26,NA,NA,NA,NA,FC,1001.078,145.283,0,Surv,982.27,128.308,0,Surv,1125.962,146.797,0,Surv,777.09,117.596,0,Surv,1005.993,121.779,0,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NewSite8,M013,23.09408011,41.5,41,31,NA,NA,NA,NA,FC,997.523,118.345,0,Surv,588.882,93.525,0,Surv,NA,NA,NA,Surv,459.848,89.498,0,Surv,496.83,89.546,NA,Surv,872.728,148.358,NA,Surv,2209.04,323.548,NA,Dead,NA,NA,NA,NA,NA,NA,NA,
NewSite8,M014,24.08259295,42.2,41,32,NA,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,Surv,584.968,93.307,0,Surv,592.16,95.934,0,Surv,1280.494,136.04,0,Surv,2068.755,206.919,0,Surv,2673.184,227.088,0,Surv,4002.988,262.296,0,Surv,1740.049,191.647,1,
NewSite8,M015,21.75498111,38.9,38,31,NA,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,589.513,93.151,0,Surv,592.922,99.405,0,Surv,2173.006,178.002,0,Surv,1102.394,145.167,0,Dead,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NewSite8,M016,18.78529863,35.2,34,29,NA,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,276.577,65.429,0,Surv,649.355,113.363,0,Surv,1171.614,131.547,0,Surv,2252.487,216.039,NA,Surv,2702.898,258.574,0,Surv,2495.953,228.277,0,Surv,801.252,133.488,1,
NewSite8,M017,23.09408011,41.5,41,31,NA,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,642.873,106.402,0,Surv,1436.895,161.317,0,Surv,1794.923,182.405,0,Surv,1518.459,167.955,0,Surv,1590.802,176.08,0,Surv,972.637,122.662,1,
NewSite8,M018,21.75498111,38.9,38,31,NA,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,499.885,89.331,0,Surv,958.454,117.031,0,Surv,1915.056,193.075,0,Surv,2571.749,231.959,0,Surv,4046.423,271.657,0,Surv,2495.453,213.765,1,
NewSite8,M019,#VALUE!,NA,NA,NA,26.137,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,515.66,105.07,0,Surv,1612.957,171.161,0,Surv,1969.283,223.443,0,Surv,2651.078,211.066,0,Surv,931.701,116.806,1,
NewSite8,M020,#VALUE!,NA,NA,NA,22.809,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,388.324,82.602,NA,Dead,NA,NA,NA,NA,NA,NA,NA,
NewSite8,M021,#VALUE!,NA,NA,NA,15.659,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,769.475,103.26,0,Dead,NA,NA,NA,NA,NA,NA,NA,
NewSite8,M022,#VALUE!,NA,NA,NA,20.952,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,2083.014,184.718,NA,Surv,2039.112,195.488,0,Surv,895.678,136.678,0,
NewSite8,M023,#VALUE!,NA,NA,NA,14.046,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,6207.033,312.792,NA,Surv,4532.738,275.309,NA,Surv,2784.188,222.785,NA,
NewSite8,M024,#VALUE!,NA,NA,NA,14.025,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,4187.545,286.516,NA,Surv,3431.354,235.031,NA,Surv,1974.203,173.036,NA,
NewSite8,M025,#VALUE!,NA,NA,NA,19.576,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,962.1,127.043,0,Surv,676.343,104.184,0,Surv,291.464,72.618,0,
NewSite8,M026,#VALUE!,NA,NA,NA,24.381,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,334.02,77.52,0,Surv,500.277,94.494,0,Dead,NA,NA,NA,
NewSite8,M027,#VALUE!,NA,NA,NA,18.089,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,203.896,58.804,0,Surv,408.753,95.353,0,Surv,622.772,100.804,0,
NewSite8,M028,#VALUE!,NA,NA,NA,24.138,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,451.412,99.029,0,Surv,591.66,113.327,1,
NewSite8,M029,#VALUE!,NA,NA,NA,17.869,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,520.443,103.134,0,Surv,604.214,94.899,NA,
NewSite8,M030,#VALUE!,NA,NA,NA,14.138,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,1020.719,149.704,0,Dead,NA,NA,NA,
NewSite8,M031,#VALUE!,NA,NA,NA,5.787,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,NYS,NA,NA,NA,FC,4410.189,267.686,0,Surv,2122.664,193.899,1,
